brand,brand_slug,display_name,product_slug,local_image_key,external_name,external_slug,confidence,category,price_reference,description,image_url_external,source
"AFNAN",afnan,"9AM Dive",9am-dive,products/afnan/9am-dive/01.jpg,"Afnan 9 AM Dive set de regalo",afnan-afnan-9-am-dive-set-de-regalo,0.49,,280250,"Sumérgete en una experiencia refrescante con el Gift Set 9 AM Dive de Afnan, una fragancia moderna, energética y llena de vitalidad. Diseñada para el hombre dinámico que busca comenzar cada día con actitud y frescura, esta composición combina cítricos chispeantes con un fondo cálido y especiado. Contenido del set: 100 ml Eau de Parfum 150 ml Gel de ducha 150 ml Desodorante perfumado en spray Este set es ideal como regalo o para quienes desean disfrutar de una experiencia olfativa completa con ar","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Afnan_9_AM_Dive_set_de_regalo.png?v=1748461366",local-assets+disfragancias
"AFNAN",afnan,"9AM Product",9am-product,products/afnan/9am-product/01.jpg,"Afnan Lynked Freedom Black",afnan-afnan-lynked-freedom-black,0.4,decants,23750,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_1fb948aa-4d41-4a44-bd7d-a96f9f4bc5d8.jpg?v=1771882627",local-assets+disfragancias
"AFNAN",afnan,"9amdiveside",9amdiveside,products/afnan/9amdiveside/01.jpg,"Afnan Lynked Freedom Black",afnan-afnan-lynked-freedom-black,0.4,decants,23750,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_1fb948aa-4d41-4a44-bd7d-a96f9f4bc5d8.jpg?v=1771882627",local-assets+disfragancias
"AFNAN",afnan,"9PM 02",9pm-02,products/afnan/9pm-02/01.jpg,"Afnan Lynked Freedom Black",afnan-afnan-lynked-freedom-black,0.4,decants,23750,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_1fb948aa-4d41-4a44-bd7d-a96f9f4bc5d8.jpg?v=1771882627",local-assets+disfragancias
"AFNAN",afnan,"9PM Product",9pm-product,products/afnan/9pm-product/01.jpg,"Afnan Lynked Freedom Black",afnan-afnan-lynked-freedom-black,0.4,decants,23750,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_1fb948aa-4d41-4a44-bd7d-a96f9f4bc5d8.jpg?v=1771882627",local-assets+disfragancias
"AFNAN",afnan,"9pmfront",9pmfront,products/afnan/9pmfront/01.jpg,"Afnan Lynked Freedom Black",afnan-afnan-lynked-freedom-black,0.4,decants,23750,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_1fb948aa-4d41-4a44-bd7d-a96f9f4bc5d8.jpg?v=1771882627",local-assets+disfragancias
"AFNAN",afnan,"Untitled Design",untitled-design,products/afnan/untitled-design/01.jpg,"Afnan Lynked Freedom Black",afnan-afnan-lynked-freedom-black,0.4,decants,23750,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_1fb948aa-4d41-4a44-bd7d-a96f9f4bc5d8.jpg?v=1771882627",local-assets+disfragancias
"AL HARAMAIN",al-haramain,"1149bn",1149bn,products/al-haramain/1149bn/01.jpg,"Al haramain tanasuk aceite puro",al-haramain-al-haramain-tanasuk-aceite-puro,0.4,,114000,"Al Haramain Tanasuk es un aceite puro que encarna la seducción en su forma más exquisita. Rico en los opulentos aromas de rosa, azafrán, ámbar y vainilla , esta fragancia oriental se fusiona a la perfección para crear una experiencia olfativa sofisticada y única. Las profundas notas de almizcle, pachulí y madera de guayaco añaden una intensidad y un efecto duradero que la hacen irresistible. Su lujosa botella es una declaración en sí misma, ideal para esa ocasión especial. Fabricada en cristal b","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_b02d041a-5887-4cc5-95ab-192b0ee699cc.jpg?v=1748392786",local-assets+disfragancias
"AL HARAMAIN",al-haramain,"1483 Combo",1483-combo,products/al-haramain/1483-combo/01.jpg,"Al haramain tanasuk aceite puro",al-haramain-al-haramain-tanasuk-aceite-puro,0.4,,114000,"Al Haramain Tanasuk es un aceite puro que encarna la seducción en su forma más exquisita. Rico en los opulentos aromas de rosa, azafrán, ámbar y vainilla , esta fragancia oriental se fusiona a la perfección para crear una experiencia olfativa sofisticada y única. Las profundas notas de almizcle, pachulí y madera de guayaco añaden una intensidad y un efecto duradero que la hacen irresistible. Su lujosa botella es una declaración en sí misma, ideal para esa ocasión especial. Fabricada en cristal b","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_b02d041a-5887-4cc5-95ab-192b0ee699cc.jpg?v=1748392786",local-assets+disfragancias
"AL HARAMAIN",al-haramain,"Ahp1013 Amber Oud Gold Edition 100ml 1",ahp1013-amber-oud-gold-edition-100ml-1,products/al-haramain/ahp1013-amber-oud-gold-edition-100ml-1/01.jpg,"Al haramain amber oud gold edition 999.9",al-haramain-al-haramain-amber-oud-gold-edition-99-9,0.67,decants,28500,"Dubái es una ciudad vibrante y culturalmente diversa, llena de aromas y experiencias que capturan su esencia única. Una fragancia que refleja esta esencia es Haramain Amber Oud Gold 999.9, Dubai Edition. Este perfume se despliega como un viaje a través del tiempo y la cultura de Dubái, donde cada nota es un reflejo de su herencia rica y multifacética. Desde las notas de salida de pera, naranja, bergamota y limón, la fragancia evoca la frescura de este dinámico destino. Con notas de melón, jazmín","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Haramain_Amber_Oud_Gold_Edition_99.9_c93dd2f0-0969-44b6-9313-17c9dfa14acc.png?v=1731008469",local-assets+disfragancias
