name,slug,brand,category,gender,price,stock,description,imageKey,source,externalName,confidence
"9AM Dive",afnan-9am-dive,"AFNAN",,,280250,0,"Sumérgete en una experiencia refrescante con el Gift Set 9 AM Dive de Afnan, una fragancia moderna, energética y llena de vitalidad. Diseñada para el hombre dinámico que busca comenzar cada día con actitud y frescura, esta composición combina cítricos chispeantes con un fondo cálido y especiado. Contenido del set: 100 ml Eau de Parfum 150 ml Gel de ducha 150 ml Desodorante perfumado en spray Este set es ideal como regalo o para quienes desean disfrutar de una experiencia olfativa completa con ar",products/afnan/9am-dive/01.jpg,local-assets+disfragancias,"Afnan 9 AM Dive set de regalo",0.49
"9AM Product",afnan-9am-product,"AFNAN",decants,,23750,0,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin",products/afnan/9am-product/01.jpg,local-assets+disfragancias,"Afnan Lynked Freedom Black",0.4
"9amdiveside",afnan-9amdiveside,"AFNAN",decants,,23750,0,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin",products/afnan/9amdiveside/01.jpg,local-assets+disfragancias,"Afnan Lynked Freedom Black",0.4
"9PM 02",afnan-9pm-02,"AFNAN",decants,,23750,0,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin",products/afnan/9pm-02/01.jpg,local-assets+disfragancias,"Afnan Lynked Freedom Black",0.4
"9PM Product",afnan-9pm-product,"AFNAN",decants,,23750,0,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin",products/afnan/9pm-product/01.jpg,local-assets+disfragancias,"Afnan Lynked Freedom Black",0.4
"9pmfront",afnan-9pmfront,"AFNAN",decants,,23750,0,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin",products/afnan/9pmfront/01.jpg,local-assets+disfragancias,"Afnan Lynked Freedom Black",0.4
"Untitled Design",afnan-untitled-design,"AFNAN",decants,,23750,0,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin",products/afnan/untitled-design/01.jpg,local-assets+disfragancias,"Afnan Lynked Freedom Black",0.4
"1149bn",al-haramain-1149bn,"AL HARAMAIN",,,114000,0,"Al Haramain Tanasuk es un aceite puro que encarna la seducción en su forma más exquisita. Rico en los opulentos aromas de rosa, azafrán, ámbar y vainilla , esta fragancia oriental se fusiona a la perfección para crear una experiencia olfativa sofisticada y única. Las profundas notas de almizcle, pachulí y madera de guayaco añaden una intensidad y un efecto duradero que la hacen irresistible. Su lujosa botella es una declaración en sí misma, ideal para esa ocasión especial. Fabricada en cristal b",products/al-haramain/1149bn/01.jpg,local-assets+disfragancias,"Al haramain tanasuk aceite puro",0.4
"1483 Combo",al-haramain-1483-combo,"AL HARAMAIN",,,114000,0,"Al Haramain Tanasuk es un aceite puro que encarna la seducción en su forma más exquisita. Rico en los opulentos aromas de rosa, azafrán, ámbar y vainilla , esta fragancia oriental se fusiona a la perfección para crear una experiencia olfativa sofisticada y única. Las profundas notas de almizcle, pachulí y madera de guayaco añaden una intensidad y un efecto duradero que la hacen irresistible. Su lujosa botella es una declaración en sí misma, ideal para esa ocasión especial. Fabricada en cristal b",products/al-haramain/1483-combo/01.jpg,local-assets+disfragancias,"Al haramain tanasuk aceite puro",0.4
"Ahp1013 Amber Oud Gold Edition 100ml 1",al-haramain-ahp1013-amber-oud-gold-edition-100ml-1,"AL HARAMAIN",decants,,28500,0,"Dubái es una ciudad vibrante y culturalmente diversa, llena de aromas y experiencias que capturan su esencia única. Una fragancia que refleja esta esencia es Haramain Amber Oud Gold 999.9, Dubai Edition. Este perfume se despliega como un viaje a través del tiempo y la cultura de Dubái, donde cada nota es un reflejo de su herencia rica y multifacética. Desde las notas de salida de pera, naranja, bergamota y limón, la fragancia evoca la frescura de este dinámico destino. Con notas de melón, jazmín",products/al-haramain/ahp1013-amber-oud-gold-edition-100ml-1/01.jpg,local-assets+disfragancias,"Al haramain amber oud gold edition 999.9",0.67
